X,movie,total_gross,Critic_Pick,Review_url
144,Dinner for Schmucks,46620949,0,http://www.nytimes.com/2010/07/30/movies/30dinner.html
145,Save the Last Dance,46238231,0,http://www.nytimes.com/movie/review?res=9901E7DC1F3AF931A25752C0A9679C8B63
146,Knowing,46217199,0,http://www.nytimes.com/2009/03/20/movies/20know.html
147,The Social Network,46021161,1,http://www.nytimes.com/2010/09/24/movies/24nyffsocial.html
148,Pixels,45714520,0,http://www.nytimes.com/2015/07/24/movies/review-in-pixels-attack-of-the-retro-video-games.html
149,War Horse,45656074,1,http://www.nytimes.com/2011/12/23/movies/war-horse-directed-by-steven-spielberg-review.html
150,10 Cloverfield Lane,45183178,1,http://www.nytimes.com/2016/03/11/movies/10-cloverfield-lane-review.html
151,Act of Valor,45111924,0,http://www.nytimes.com/2012/02/24/movies/act-of-valor-starring-navy-seal-members.html
152,Dawn of the Dead,44220945,0,http://www.nytimes.com/movie/review?res=9A06EED61231F93AA25750C0A9629C8B63
153,The Monuments Men,44144157,0,http://www.nytimes.com/2014/02/07/movies/clooney-and-company-hunt-for-treasures-in-monuments-men.html
154,Total Recall,44101432,0,http://www.nytimes.com/2012/08/03/movies/movie-review-total-recall-with-colin-farrell.html
155,The Taking of Pelham 123,44067224,1,http://www.nytimes.com/2009/06/12/movies/12pelham.html
156,Monster House,44035290,1,http://www.nytimes.com/2006/07/21/movies/21mons.html
157,Arrival,43709470,1,http://www.nytimes.com/2016/11/11/movies/arrival-review-amy-adams-jeremy-renner.html
158,The First Purge,43399745,0,http://www.nytimes.com/2018/07/03/movies/the-first-purge-review.html
159,Paul Blart: Mall Cop 2,43224910,0,http://www.nytimes.com/2015/04/18/movies/review-paul-blart-mall-cop-2-starring-kevin-james-heads-to-las-vegas.html
160,The Game Plan,43158823,0,http://www.nytimes.com/2007/09/28/movies/28game.html
161,Two Weeks Notice,43044430,0,http://www.nytimes.com/movie/review?res=9A00E2D6103DF933A15751C1A9649C8B63
162,Argo,43011964,1,http://www.nytimes.com/2012/10/12/movies/argo-directed-by-ben-affleck.html
163,Heaven is for Real,42167023,0,http://www.nytimes.com/2014/04/16/movies/heaven-is-for-real-stars-greg-kinnear.html
164,Jackass: The Movie,42121857,0,http://www.nytimes.com/movie/review?res=9C0CEFD6113CF935A15753C1A9649C8B63
165,The Omen,41547205,0,http://www.nytimes.com/2006/06/06/movies/06omen.html
166,The Predator,40911581,0,http://www.nytimes.com/2018/09/13/movies/the-predator-review.html
167,Madea's Big Happy Family,40891043,0,http://www.nytimes.com/2011/04/25/movies/madea-big-happy-family-with-tyler-perry-review.html
168,Vantage Point,40823745,0,http://www.nytimes.com/2008/02/22/movies/22vant.html
169,We Were Soldiers,40552286,0,http://www.nytimes.com/movie/review?res=9900E6DD1331F932A35750C0A9649C8B63
170,The Adventures of Tintin,40444234,0,http://www.nytimes.com/2011/12/21/movies/the-adventures-of-tintin-by-steven-spielberg-review.html
171,The Boss,40140765,0,http://www.nytimes.com/2016/04/08/movies/the-boss-review-melissa-mccarthy.html
172,Chronicle,39959856,0,http://www.nytimes.com/2012/02/03/movies/dane-dehaan-in-chronicle-directed-by-josh-trank.html
173,The Time Machine,39936148,0,http://www.nytimes.com/movie/review?res=9E07E3D91330F93BA35750C0A9649C8B63
174,17 Again,39823333,0,http://www.nytimes.com/2009/04/17/movies/17seve.html
175,John Q,39804238,0,http://www.nytimes.com/movie/review?res=9803EED7143FF936A25751C0A9649C8B63
176,Jack Reacher: Never Go Back,39769924,0,http://www.nytimes.com/2016/10/21/movies/jack-reacher-never-go-back-review-tom-cruise.html
177,Project X,39717098,1,http://www.nytimes.com/2012/03/02/movies/project-x-from-nima-nourizadeh.html
178,Life of Pi,39683510,0,http://www.nytimes.com/2012/11/21/movies/life-of-pi-directed-by-ang-lee.html
179,No Strings Attached,39502304,0,http://www.nytimes.com/2011/01/21/movies/21nostringsattached.html
180,Baywatch,39496491,0,http://www.nytimes.com/2017/05/24/movies/baywatch-review-zac-efron-dwayne-johnson.html
181,The Family Man,39170330,0,http://www.nytimes.com/movie/review?res=9400E2D71F39F931A15751C1A9669C8B63
182,The Stepford Wives,39016446,0,http://www.nytimes.com/movie/review?res=9A0DE2DA1430F932A25755C0A9629C8B63
183,The BFG,38944146,0,http://www.nytimes.com/2016/07/01/movies/the-bfg-review-steven-spielberg-mark-rylance.html
184,Exodus: Gods and Kings,38942192,0,http://www.nytimes.com/2014/12/12/movies/exodus-gods-and-kings-ridley-scotts-biblical-drama.html
185,Snow Dogs,38811967,0,http://www.nytimes.com/movie/review?res=9400EFDF1E38F93BA25752C0A9649C8B63
186,The Adjustment Bureau,38589595,1,http://www.nytimes.com/2011/03/04/movies/04adjust.html
187,Prisoners,38549194,0,http://www.nytimes.com/2013/09/20/movies/prisoners-stars-hugh-jackman-and-jake-gyllenhaal.html
188,The Bounty Hunter,38418433,0,http://www.nytimes.com/2010/03/19/movies/19bounty.html
189,Rise of the Guardians,38418097,0,http://www.nytimes.com/2012/11/21/movies/in-rise-of-the-guardians-childhood-naivete-wins.html
190,I Can Do Bad All By Myself,37749545,0,http://www.nytimes.com/2009/09/12/movies/12tyler.html
191,Hotel for Dogs,37455759,0,http://www.nytimes.com/2009/01/16/movies/16dogs.html
192,Blockers,37403980,0,http://www.nytimes.com/2018/04/05/movies/blockers-review.html
193,Takers,37327557,0,http://www.nytimes.com/2010/08/27/movies/27takers.html
194,The Strangers,37298770,1,http://www.nytimes.com/2008/05/30/movies/30stra.html
195,The Haunting in Connecticut,37171280,0,http://www.nytimes.com/2009/03/27/movies/27haun.html
196,The Time Traveler's Wife,37165676,0,http://www.nytimes.com/2009/08/14/movies/14time.html
197,Me Before You,36650841,0,http://www.nytimes.com/2016/06/03/movies/me-before-you-review.html
198,Déjà Vu,36505755,0,http://www.nytimes.com/2006/11/22/movies/22deja.html
199,Warm Bodies,36481172,0,http://www.nytimes.com/2013/02/01/movies/warm-bodies-written-and-directed-by-jonathan-levine.html
200,This is 40,36431350,0,http://www.nytimes.com/2012/12/21/movies/this-is-40-from-judd-apatow-and-starring-paul-rudd.html
201,Holes,36378174,1,http://www.nytimes.com/movie/review?res=9B0CEFD7163AF93BA25757C0A9659C8B63
202,The Shaggy Dog,35635419,0,http://www.nytimes.com/movie/review?res=9A05E3DB1038EF3BBC4851DFB5668382649EDE
203,Forgetting Sarah Marshall,35090955,0,http://www.nytimes.com/2008/04/18/movies/18forg.html
204,The Good Shepherd,35066495,0,http://www.nytimes.com/2006/12/22/movies/22shep.html
205,Coraline,35019078,1,http://www.nytimes.com/2009/02/06/movies/06cora.html
206,Stuart Little 2,34724638,1,http://www.nytimes.com/movie/review?res=9802EED91039F93AA25754C0A9649C8B63
207,Kick-Ass,34708222,0,http://www.nytimes.com/2010/04/16/movies/16kick.html
208,Assassin’s Creed,34151741,0,http://www.nytimes.com/2016/12/20/movies/assassins-creed-review-michael-fassbender.html
209,Along Came a Spider,33901508,0,http://www.nytimes.com/movie/review?res=9A0CEFD7143EF935A35757C0A9679C8B63
210,Last Vegas,33467006,0,http://www.nytimes.com/2013/11/01/movies/last-vegas-stars-de-niro-freeman-douglas-and-kline.html
211,Just Married,33428852,0,http://www.nytimes.com/movie/review?res=9D05E1D6113EF933A25752C0A9659C8B63
212,Percy Jackson: Sea of Monsters,33079089,0,http://www.nytimes.com/2013/08/07/movies/percy-jackson-sea-of-monsters-with-logan-lerman.html
213,Secret Window,32775496,0,http://www.nytimes.com/movie/review?res=9A07E5DB133EF931A25750C0A9629C8B63
214,Changing Lanes,32761402,0,http://www.nytimes.com/movie/review?res=9D02EEDB163CF931A25757C0A9649C8B63
215,Year One,32529560,1,http://www.nytimes.com/2009/06/19/movies/19year.html
216,Water for Elephants,32480214,0,http://www.nytimes.com/2011/04/22/movies/reese-witherspoon-in-water-for-elephants-review.html
217,The Shack,32226242,0,http://www.nytimes.com/2017/03/02/movies/the-shack-review-sam-worthington-octavia-spencer.html
218,The Others,32168706,0,http://www.nytimes.com/movie/review?res=9C0DE7DF153FF933A2575BC0A9679C8B63
219,The Boxtrolls,32093796,0,http://www.nytimes.com/2014/09/26/movies/the-boxtrolls-is-an-adaptation-of-here-be-monsters.html
220,The One,31910000,0,http://www.nytimes.com/2011/10/07/movies/the-one-a-coming-out-film-by-caytha-jentis-review.html
221,Notorious,31874538,0,http://www.nytimes.com/2009/01/16/movies/16noto.html
222,Southpaw,31675168,0,http://www.nytimes.com/2015/07/24/movies/review-in-southpaw-jake-gyllenhaal-tries-to-box-his-way-back-from-tragedy.html
223,Premonition,31653484,0,http://www.nytimes.com/2007/03/16/movies/16prem.html
224,K-PAX,31530000,0,http://www.nytimes.com/movie/review?res=9E07E2DB1331F935A15753C1A9679C8B63
225,Ghost in the Shell,31529863,0,http://www.nytimes.com/2017/03/30/movies/ghost-in-the-shell-review-scarlett-johansson.html
226,Mona Lisa Smile,31226270,0,http://www.nytimes.com/movie/review?res=9C0CE0DD173FF93AA25751C1A9659C8B63
227,The Internship,31099912,0,http://www.nytimes.com/2013/06/07/movies/the-internship-with-vince-vaughn-and-owen-wilson.html
228,Life of the Party,30915357,0,http://www.nytimes.com/2018/05/10/movies/life-of-the-party-review-melissa-mccarthy.html
229,American Made,30818675,0,http://www.nytimes.com/2017/09/28/movies/american-made-review-tom-cruise.html
