X,movie,Critic_Pick,Review_url,negative,positive,sentiment
162,Argo,1,http://www.nytimes.com/2012/10/12/movies/argo-directed-by-ben-affleck.html,39,25,negative
163,Heaven is for Real,0,http://www.nytimes.com/2014/04/16/movies/heaven-is-for-real-stars-greg-kinnear.html,8,23,positive
164,Jackass: The Movie,0,http://www.nytimes.com/movie/review?res=9C0CEFD6113CF935A15753C1A9649C8B63,29,8,negative
165,The Omen,0,http://www.nytimes.com/2006/06/06/movies/06omen.html,29,13,negative
166,The Predator,0,http://www.nytimes.com/2018/09/13/movies/the-predator-review.html,7,5,negative
167,Madea's Big Happy Family,0,http://www.nytimes.com/2011/04/25/movies/madea-big-happy-family-with-tyler-perry-review.html,24,24,neutral
168,Vantage Point,0,http://www.nytimes.com/2008/02/22/movies/22vant.html,15,13,negative
169,We Were Soldiers,0,http://www.nytimes.com/movie/review?res=9900E6DD1331F932A35750C0A9649C8B63,52,37,negative
170,The Adventures of Tintin,0,http://www.nytimes.com/2011/12/21/movies/the-adventures-of-tintin-by-steven-spielberg-review.html,37,17,negative
171,The Boss,0,http://www.nytimes.com/2016/04/08/movies/the-boss-review-melissa-mccarthy.html,35,29,negative
172,Chronicle,0,http://www.nytimes.com/2012/02/03/movies/dane-dehaan-in-chronicle-directed-by-josh-trank.html,32,24,negative
173,The Time Machine,0,http://www.nytimes.com/movie/review?res=9E07E3D91330F93BA35750C0A9649C8B63,33,30,negative
174,17 Again,0,http://www.nytimes.com/2009/04/17/movies/17seve.html,15,23,positive
175,John Q,0,http://www.nytimes.com/movie/review?res=9803EED7143FF936A25751C0A9649C8B63,42,21,negative
176,Jack Reacher: Never Go Back,0,http://www.nytimes.com/2016/10/21/movies/jack-reacher-never-go-back-review-tom-cruise.html,29,22,negative
177,Project X,1,http://www.nytimes.com/2012/03/02/movies/project-x-from-nima-nourizadeh.html,5,12,positive
178,Life of Pi,0,http://www.nytimes.com/2012/11/21/movies/life-of-pi-directed-by-ang-lee.html,33,56,positive
179,No Strings Attached,0,http://www.nytimes.com/2011/01/21/movies/21nostringsattached.html,31,32,positive
180,Baywatch,0,http://www.nytimes.com/2017/05/24/movies/baywatch-review-zac-efron-dwayne-johnson.html,27,24,negative
181,The Family Man,0,http://www.nytimes.com/movie/review?res=9400E2D71F39F931A15751C1A9669C8B63,42,42,neutral
182,The Stepford Wives,0,http://www.nytimes.com/movie/review?res=9A0DE2DA1430F932A25755C0A9629C8B63,42,27,negative
183,The BFG,0,http://www.nytimes.com/2016/07/01/movies/the-bfg-review-steven-spielberg-mark-rylance.html,36,36,neutral
184,Exodus: Gods and Kings,0,http://www.nytimes.com/2014/12/12/movies/exodus-gods-and-kings-ridley-scotts-biblical-drama.html,43,28,negative
185,Snow Dogs,0,http://www.nytimes.com/movie/review?res=9400EFDF1E38F93BA25752C0A9649C8B63,25,15,negative
186,The Adjustment Bureau,1,http://www.nytimes.com/2011/03/04/movies/04adjust.html,41,34,negative
187,Prisoners,0,http://www.nytimes.com/2013/09/20/movies/prisoners-stars-hugh-jackman-and-jake-gyllenhaal.html,67,25,negative
188,The Bounty Hunter,0,http://www.nytimes.com/2010/03/19/movies/19bounty.html,54,19,negative
189,Rise of the Guardians,0,http://www.nytimes.com/2012/11/21/movies/in-rise-of-the-guardians-childhood-naivete-wins.html,30,25,negative
190,I Can Do Bad All By Myself,0,http://www.nytimes.com/2009/09/12/movies/12tyler.html,27,17,negative
191,Hotel for Dogs,0,http://www.nytimes.com/2009/01/16/movies/16dogs.html,14,24,positive
192,Blockers,0,http://www.nytimes.com/2018/04/05/movies/blockers-review.html,36,20,negative
193,Takers,0,http://www.nytimes.com/2010/08/27/movies/27takers.html,31,28,negative
194,The Strangers,1,http://www.nytimes.com/2008/05/30/movies/30stra.html,17,9,negative
195,The Haunting in Connecticut,0,http://www.nytimes.com/2009/03/27/movies/27haun.html,13,3,negative
196,The Time Traveler's Wife,0,http://www.nytimes.com/2009/08/14/movies/14time.html,23,14,negative
197,Me Before You,0,http://www.nytimes.com/2016/06/03/movies/me-before-you-review.html,23,19,negative
198,Déjà Vu,0,http://www.nytimes.com/2006/11/22/movies/22deja.html,41,23,negative
199,Warm Bodies,0,http://www.nytimes.com/2013/02/01/movies/warm-bodies-written-and-directed-by-jonathan-levine.html,37,31,negative
200,This is 40,0,http://www.nytimes.com/2012/12/21/movies/this-is-40-from-judd-apatow-and-starring-paul-rudd.html,59,38,negative
